ds,yhat,yhat_lower,yhat_upper
2018-03-18,14042.196400342618,7964.117530864713,20526.930739521493
2018-03-19,14256.226739570928,8155.139359426411,20371.70014017092
2018-03-20,14304.52767592865,8044.749718894312,20506.962283159075
2018-03-21,14487.168107414105,8750.708938770185,20322.282297369293
2018-03-22,14504.79991055181,8818.620203378277,20525.120241206416
2018-03-23,14620.868372668356,8604.38759402435,20834.499782025225
2018-03-24,14652.661981496054,8076.369350499527,20415.139069674497
2018-03-25,14737.62270294414,8896.522017219038,20341.136219605563
2018-03-26,14902.98220473291,8956.672902705235,20256.230689807333
2018-03-27,14893.55308022759,9205.00434269472,20837.533499049747
2018-03-28,15010.226954970334,8929.997392163068,21021.255850607955
2018-03-29,14954.666327046863,8886.581007335799,21018.89892507838
2018-03-30,14991.486172434343,8864.314046099129,20578.798712603486
2018-03-31,14939.271207574386,8894.399259368523,21050.895791641484
2018-04-01,14936.85084568545,8525.354930823762,21287.302933856707
2018-04-02,15012.898273994846,9344.906758065308,20932.364175477967
2018-04-03,14913.683713279921,9349.585677428426,21144.370354581093
2018-04-04,14941.534759843435,8575.583220722317,20796.86121086442
2018-04-05,14799.491662195163,8805.55991406216,20689.120871447685
2018-04-06,14753.454521723212,8929.045684070068,20396.946205676977
2018-04-07,14623.169199625396,8743.976455705868,20771.802109446562
2018-04-08,14548.47476540841,8750.679177905608,20492.232471312243
2018-04-09,14558.87960111018,8640.59219349024,21040.670379576663
2018-04-10,14401.296780445482,8228.022494000672,20465.446627909736
2018-04-11,14378.492037783686,8270.449713790515,19939.59917352326
2018-04-12,14193.732441108848,8056.575015875346,20068.41397148882
2018-04-13,14112.932861521062,8379.975417996618,20161.00743845128
2018-04-14,13955.646964776422,7808.682970380314,19924.77296551146
2018-04-15,13861.325346271895,7628.047399828815,19914.594436595733
2018-04-16,13858.907559711823,7910.956477573679,19937.746690949014
2018-04-17,13694.578155799718,7524.8179900062005,19264.918894045957
2018-04-18,13670.23941887416,8080.932410800659,19977.84777857866
2018-04-19,13488.188182513599,7753.183318057488,19701.97641190724
2018-04-20,13413.292998180514,6935.554775757927,19656.353429154307
2018-04-21,13264.017501488734,7306.033826443191,19402.544977122816
